Brand,Store Name,Address,Latitude,Longitude
McDonald's,McDonald's Jalan Gopeng DT,"PN684, Jalan Gopeng, 31350 Ipoh, Perak",4.5725522,101.1125689
McDonald's,McDonald's Teluk Intan DT,"Lot 5017, McDonald's, Lot 5017, Jalan Changkat Jong, 36000 Teluk Intan, Perak",4.0173686,101.0275118
McDonald's,McDonald's,"120-120A, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1468673,101.7108831
McDonald's,McDonald's Sunway City Ipoh DT,"Lot 303521, Ipoh, Perak, Malaysia, Sunway City Ipoh, 31150 Ulu Kinta",4.6248666,101.1516911
McDonald's,McDonald's Kota Damansara DT,"Lot B, Jalan Cecawi 6/18a, Kota Damansara, 47810 Petaling Jaya, Selangor",3.1604567,101.5741986
McDonald's,McDonald's Cameron Highlands DT,"Lot Pt 3275, Mukim, Tanah Rata, 39000, Pahang",4.4963476,101.3898902
McDonald's,McDonald's Sri Manjung 2 DT,"Sebahagian Lot 13108 (Plot 1), Daerah Manjung, Lumut, Malaysia, Perak, 32200 Perak",4.2158666,100.6711551
McDonald's,McDonald's Jalan Kuala Kangsar DT,"Lot 6110U-6113U, Jln. Kuala Kangsar, Taman Che Wan, 30010 Ipoh, Perak",4.633694999999999,101.0875797
McDonald's,McDonald's Klebang DT,"PT 238632, Persiaran Klebang Putra, Taman Klebang Putra, Chemor, Ipoh, Malaysia, Perak, 31200 Perak",4.6849894,101.1204619
McDonald's,McDonald's Pandan Mewah DT,"McDonald's, Bangunan Restoran, Jalan Mewah Utara, 68000 Ampang Jaya, Federal Territory of Kuala Lumpur",3.1281168,101.7628745
McDonald's,McDonald's Bandar Utama DT,"5 Lebuh Bandar Utama, Jalan PJU 6/2, Bandar Utama, 47800 Petaling Jaya, Selangor",3.1374342,101.6095689
McDonald's,McDonald's Taman Connaught DT,"Lot 18113, Jalan Cendikiawan, Mukim Petaling, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.0813543,101.7320382
McDonald's,McDonald's Kuala Selangor DT,"Lot 640, Teluk Piah, Mukim, Kampung Telok Piai, 45000 Kuala Selangor, Selangor",3.3301344,101.2585797
McDonald's,McDonald's Kuchai Lama DT,"1/116B, off, Jalan Kuchai Lama, Kuchai Entrepreneurs Park, 58200 Kuala Lumpur",3.0871689,101.6901273
McDonald's,McDonald's Jalan Tebrau DT,"Lot PTD 68950, Batu 7 1/2, Jalan Kota Tinggi, Johor Bahru, Malaysia, Johor, 81100 Johor",1.5355984,103.7845182
McDonald's,McDonald's Tanjung Tokong DT,"6, Jln Tanjong Tokong, Kampung Raya Baharu, 10250 George Town, Pulau Pinang",5.4469075,100.3056802
McDonald's,McDonald's,"Lot PT21552 & PT21553, Mukim, Persiaran Perdana, Bandar Sri Damansara, 52200 Kuala Lumpur",3.1950357,101.6077824
McDonald's,McDonald's Cyberjaya DT,"Prima 5B, Prima Avenue 1, Jalan Teknorat 5, Cyber 5 , Cyberjaya,, Selangor, 63000 Selangor",2.921126,101.655844
McDonald's,McDonald's Bandar Sri Pinang DT,"No 2, Lbh Sungai Pinang 1, 11600 George Town, Pulau Pinang",5.395465300000001,100.3268155
McDonald's,McDonald's Seri Manjung DT,"Lot 114, Taman Samudera, 32040 Seri Manjung, Perak",4.1995556,100.6552812
McDonald's,McDonald's SS 2 SF,"56, Jalan SS 2/61, SS 2, 47300 Petaling Jaya, Selangor",3.1182796,101.6204302
McDonald's,McDonald's Taman Sutera DT,"Lot PT 135893, Jalan Roda Utama, 81300 Skudai, Johor",1.5231026,103.6784857
McDonald's,McDonald's Meru Raya DT,"di atas Lot 82, Jalan Meru Bestari A2, Sebahagian, Zon 5, Bandar Meru Raya, 30020, Perak",4.6707497,101.077667
McDonald's,McDonald's R&R Tapah SF (NB),"North-South Expy, 35000 Tapah, Perak",4.1776409,101.2901702
McDonald's,McDonald's Titiwangsa DT,"Lot 8, Section, 85, Jalan Pahang, Setapak, 53000 Kuala Lumpur",3.1795571,101.7004393
McDonald's,McDonald's Bukit Tinggi DT,"Lot 1, Persiaran Batu Nilam, Bandar Bukit Tinggi 1, 41200 Klang, Selangor",3.0079699,101.4326729
McDonald's,McDonald's Seri Alam Masai DT,"Lot PTD 174172, Jalan Seri Alam, Bandar Baru Seri Alam, 81750 Masai, Johor",1.4961515,103.8707293
McDonald's,McDonald's Bandar Puteri Puchong DT,"No. G-6. 1-6 & No. 2-6, Jln Puteri 7/13A, Bandar Puteri Puchong, 47100 Puchong, Selangor",3.0201323,101.6249767
McDonald's,McDonald's Bangsar,"48, Jalan Telawi 5, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1329137,101.6722948
McDonald's,McDonald's Kota Kemuning,"No. 1, Jalan Anggerik Vanilla 31/94, Seksyen 31, Kota Kemuning, 40706 Shah Alam, Selangor",3.0029303,101.5408938
McDonald's,McDonald's Jalan Tun Perak,"Wisma Teck Lee, 38, Jalan Tun Perak, Ground & Mezzanine Floor, 50050 Kuala Lumpur",3.1490492,101.6969146
McDonald's,McDonald's Kangar DT,"Jalan Kampung Bakau, Kangar, Malaysia, Perlis, 01000 Perlis",6.4327207,100.1964775
McDonald's,McDonald's,"1, Jalan SS 15/3a, Ss 15, 47500 Subang Jaya, Selangor",3.0790924,101.5861731
McDonald's,McDonald's Taman Buaya DT,"Lot 4570 Taman Buaya Melaka, Mukim Bukit Katil, Daerah, 75320 Ayer Keroh, Malacca",2.277511,102.298276
McDonald's,McDonald's Batu Caves DT,"Lot 52613, Taman Samudra, 53000 Batu Caves, Selangor",3.2349963,101.689795
McDonald's,McDonald's Setia Alam DT,"PT 34532, Jalan Setia Alam AR U13/AR, Setia Alam, Section, U13 Shah Alam, 40170 Shah Alam, Selangor",3.1271058,101.466852
McDonald's,McDonald's Suria KLCC,"Lot C35 - 38, Concourse Floor, Shopping Centre, Petronas Twin Tower, Jln Ampang, Kuala Lumpur City Centre, 50088 Wilayah Persekutuan, Federal Territory of Kuala Lumpur",3.157474,101.712164
McDonald's,McDonald's Desa Pandan,"Lot 2 & 2-1, Jalan 1/76d, Desa Pandan, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1471054,101.7368612
McDonald's,McDonald's,"Petronas Petrol Station, Kuala Lumpur-Seremban Expy, MRANTI Park, 50700 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.0565988,101.7041304
McDonald's,McDonald's Section 3 Shah Alam DT,"No.4, Jalan RU 3/94, Sect 3, 40000 Shah Alam, Selangor",3.0744438,101.5104592
McDonald's,McDonald's Mutiara Rini DT,"No 3, Persiaran Jaya, Taman Mutiara Rini, Skudai, Malaysia, Johor, 81300 Johor",1.514793,103.634365
McDonald's,McDonald's KL Sentral,"Kuala Lumpur Sentral Station, Lot 14, 15, & 16, First Floor, 50470 Kuala Lumpur",3.134487,101.6865082
McDonald's,McDonald's Kajang Perdana DT,"18, Mukim Semenyih, Daerah Ulu Langat, Kajang, Malaysia, Selangor, 43000 Selangor",2.989844,101.819599
McDonald's,McDonald's,"Lot 10655, Jalan Utama, 45010 Puncak Alam, Selangor",3.221707,101.4477972
McDonald's,McDonald's Danau Kota DT,"Part of Lot 201138, Mukim Setapak, Jln Langkawi, Taman Danau Kota, 53300 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur",3.2059972,101.7168113
McDonald's,McDonald's Jalan Tun Razak DT,"9, Jalan Fletcher, Titiwangsa, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1719034,101.7086202
